Unnamed: 0,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
2,JEUDI 27 JANVIER 2022,38,TIRAGE «PRIVILEGE» N°300,42,15,32,89
3,JEUDI 27 JANVIER 2022,52,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°300,88,60,26,3
4,JEUDI 27 JANVIER 2022,79,TIRAGE «KADO» N°178,3,23,62,67
5,JEUDI 27 JANVIER 2022,31,TIRAGE «KADO» NUMEROS MACHINE N°178,42,48,54,44
6,MERCREDI 26 JANVIER 2022,38,TIRAGE «FORTUNE» N°708,59,15,14,79
7,MERCREDI 26 JANVIER 2022,82,TIRAGE «FORTUNE» NUMEROS MACHINE N°708,71,73,88,8
8,MERCREDI 26 JANVIER 2022,29,TIRAGE «PREMIERE HEURE» N°179,34,85,75,74
9,MERCREDI 26 JANVIER 2022,84,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°179,79,19,42,30
10,MERCREDI 26 JANVIER 2022,68,TIRAGE « MID WEEK » N°947,71,82,30,34
11,MARDI 25 JANVIER 2022,52,TIRAGE «SIKA» NUMEROS MACHINE N°160,7,77,76,38
0,MARDI 25 JANVIER 2022,16,TIRAGE «SIKA» N°160,18,6,43,82
1,MARDI 25 JANVIER 2022,52,TIRAGE «SIKA» NUMEROS MACHINE N°160,7,77,76,38
2,MARDI 25 JANVIER 2022,87,TIRAGE « EMERGENCE » N°300,76,4,20,69
3,MARDI 25 JANVIER 2022,2,TIRAGE « EMERGENCE » NUMEROS MACHINE N°300,28,66,35,46
4,MARDI 25 JANVIER 2022,90,TIRAGE « LA MATINALE » N°179,54,24,73,26
5,MARDI 25 JANVIER 2022,37,TIRAGE « LA MATINALE » NUMEROS MACHINE N°179,21,74,7,56
6,MARDI 25 JANVIER 2022,85,TIRAGE « LUCKY TUESDAY » N°750,50,9,23,2
7,LUNDI 24 JANVIER 2022,6,TIRAGE «AKWABA» NUMEROS MACHINE N°160,69,56,10,18
8,LUNDI 24 JANVIER 2022,58,TIRAGE «AKWABA» N°160,29,34,72,39
9,LUNDI 24 JANVIER 2022,35,TIRAGE «ETOILE» N°299,79,77,53,6
10,LUNDI 24 JANVIER 2022,81,TIRAGE «ETOILE» N°299,26,90,44,15
11,LUNDI 24 JANVIER 2022,35,TIRAGE «REVEIL» NUMEROS MACHINE N°179,6,27,20,72
0,VENDREDI 28 JANVIER 2022,48,TIRAGE « WARI » N°160,20,86,41,87
1,VENDREDI 28 JANVIER 2022,42,TIRAGE « WARI » NUMEROS MACHINE N°160,88,58,23,4
2,VENDREDI 28 JANVIER 2022,27,TIRAGE « SOLUTION » N°300,21,28,79,62
3,VENDREDI 28 JANVIER 2022,13,TIRAGE « SOLUTION » NUMEROS MACHINE N°300,89,37,19,52
4,VENDREDI 28 JANVIER 2022,45,TIRAGE «CASH» N°180,44,64,5,81
5,VENDREDI 28 JANVIER 2022,28,TIRAGE «CASH» NUMEROS MACHINE N°180,27,75,90,59
